Epoch	Train Loss	Test Loss	Train Acc	Test Acc	Time	Stability
1	0.176436	0.140943	0.323440	0.156430	13.91	0.019218
2	0.127434	0.119140	0.088243	0.072779	13.57	0.006151
3	0.114902	0.109378	0.083324	0.081230	13.79	0.002306
4	0.102938	0.092694	0.114655	0.195548	13.85	0.005089
5	0.088219	0.084213	0.246273	0.268007	12.99	0.002265
6	0.082049	0.079105	0.287178	0.293646	13.40	0.001613
7	0.077395	0.074920	0.307899	0.317659	13.20	0.001053
8	0.074029	0.072423	0.325834	0.339229	13.34	0.001023
9	0.071476	0.070089	0.336057	0.340731	13.59	0.000917
10	0.069345	0.068139	0.341184	0.336467	14.27	0.000948
11	0.067047	0.065568	0.345521	0.344624	13.73	0.000872
12	0.064544	0.062811	0.355606	0.360642	13.42	0.001242
13	0.061684	0.060436	0.374191	0.372867	13.70	0.001070
14	0.059091	0.057791	0.400217	0.416274	13.57	0.001073
15	0.057369	0.056537	0.422382	0.435203	13.10	0.000843
16	0.055744	0.054761	0.439699	0.445295	13.62	0.000770
17	0.054678	0.054062	0.452263	0.463309	13.95	0.000533
18	0.053773	0.053051	0.462584	0.465927	13.60	0.000548
19	0.053038	0.052666	0.470564	0.471685	14.12	0.000537
20	0.052450	0.051594	0.476385	0.478444	13.72	0.000690
21	0.051589	0.050949	0.484192	0.487984	13.64	0.000681
22	0.050961	0.050482	0.490304	0.492761	14.04	0.000703
23	0.050345	0.049592	0.496732	0.500875	14.17	0.000590
24	0.049942	0.049372	0.502519	0.502751	13.97	0.000657
25	0.049399	0.048813	0.507128	0.513023	13.52	0.000570
26	0.049001	0.048628	0.512664	0.519452	13.67	0.000671
27	0.048596	0.048374	0.516969	0.514454	13.76	0.000512
28	0.048376	0.047928	0.520198	0.519748	13.12	0.000599
29	0.048023	0.047675	0.523522	0.527528	13.03	0.000711
30	0.047777	0.047549	0.526733	0.526644	13.53	0.000630
31	0.047584	0.047039	0.528659	0.531980	14.04	0.000674
32	0.047340	0.047095	0.531370	0.531315	13.35	0.000503
33	0.047118	0.046803	0.533646	0.532272	13.70	0.000551
34	0.046828	0.046659	0.536218	0.535408	13.65	0.000513
35	0.046701	0.046247	0.537592	0.540501	13.06	0.000667
36	0.046486	0.046256	0.539751	0.537711	13.37	0.000612
37	0.046400	0.046085	0.540300	0.536951	13.37	0.000653
38	0.046300	0.045833	0.541830	0.543690	14.27	0.000655
39	0.046176	0.046019	0.542730	0.547928	13.51	0.000701
40	0.046044	0.046091	0.543795	0.543351	14.02	0.000651
41	0.045873	0.045572	0.545908	0.539616	13.88	0.000693
42	0.045827	0.045611	0.545655	0.548187	14.07	0.000433
43	0.045624	0.045590	0.547230	0.546598	13.39	0.000604
44	0.045511	0.045323	0.547864	0.548658	13.42	0.000536
45	0.045450	0.045202	0.549320	0.549973	13.68	0.000592
46	0.045485	0.045079	0.548885	0.549492	13.15	0.000650
47	0.045382	0.045074	0.549856	0.548342	14.05	0.000613
48	0.045358	0.045103	0.549641	0.549000	13.72	0.000535
49	0.045245	0.045188	0.550855	0.550060	13.20	0.000495
50	0.045285	0.045138	0.550746	0.550681	13.24	0.000749
51	0.045199	0.045090	0.550461	0.550709	13.38	0.000459
52	0.045137	0.045096	0.551058	0.550170	13.88	0.000705
53	0.045111	0.045014	0.551949	0.549929	13.86	0.000663
54	0.045179	0.044953	0.551721	0.550929	13.78	0.000546
55	0.045012	0.045029	0.552187	0.550272	13.96	0.000745
56	0.045120	0.045012	0.551840	0.549643	13.21	0.000770
57	0.045141	0.044882	0.551397	0.550947	13.19	0.000558
58	0.045108	0.044825	0.552025	0.549760	13.85	0.000549
59	0.045190	0.044941	0.551608	0.550494	13.09	0.000471
60	0.045001	0.044974	0.551572	0.550787	13.48	0.000600
