Epoch	Train Loss	Test Loss	Train Acc	Test Acc	Time	Stability
1	0.190315	0.167835	0.410444	0.316584	14.83	0.010425
2	0.142807	0.126198	0.166342	0.070867	13.60	0.012559
3	0.121528	0.117986	0.069993	0.073055	13.23	0.002361
4	0.115997	0.113109	0.073406	0.079500	13.89	0.001563
5	0.111132	0.107729	0.084834	0.087233	13.80	0.001795
6	0.104221	0.098604	0.100534	0.127876	13.38	0.002746
7	0.093579	0.089103	0.178681	0.240059	13.53	0.003203
8	0.088055	0.086790	0.250970	0.256892	13.95	0.000862
9	0.086122	0.085109	0.259372	0.270384	13.88	0.000829
10	0.084425	0.083618	0.277257	0.283887	13.48	0.000964
11	0.083371	0.082593	0.285761	0.286639	13.37	0.000781
12	0.082658	0.082255	0.290243	0.297283	13.66	0.000999
13	0.081912	0.081459	0.294547	0.291787	13.35	0.000760
14	0.081472	0.080655	0.296197	0.292373	13.11	0.000785
15	0.080475	0.079968	0.299825	0.309284	13.61	0.000730
16	0.079874	0.079367	0.303381	0.306224	13.49	0.000804
17	0.078849	0.077906	0.306976	0.309340	13.10	0.000940
18	0.077698	0.076774	0.312644	0.313078	13.53	0.000806
19	0.076395	0.075503	0.320219	0.322879	14.06	0.000888
20	0.075427	0.074799	0.327339	0.334233	14.14	0.000920
21	0.074738	0.074204	0.331634	0.333215	13.54	0.001017
22	0.074108	0.073278	0.334510	0.338375	13.84	0.000735
23	0.073447	0.073091	0.338390	0.344409	13.09	0.000820
24	0.072801	0.072174	0.341711	0.345760	12.81	0.000858
25	0.072130	0.071370	0.345380	0.347274	13.88	0.000615
26	0.071374	0.070596	0.348760	0.350347	13.50	0.000625
27	0.070699	0.069925	0.351599	0.354489	13.43	0.000720
28	0.069704	0.069025	0.356093	0.356836	13.47	0.000673
29	0.069021	0.068432	0.359260	0.363073	13.68	0.000737
30	0.068297	0.067463	0.362828	0.367266	13.61	0.000709
31	0.067535	0.067260	0.367104	0.369212	13.32	0.000551
32	0.066862	0.066105	0.370259	0.372078	13.76	0.000793
33	0.066174	0.065642	0.374436	0.375461	13.98	0.000796
34	0.065443	0.064987	0.378524	0.380121	13.56	0.000710
35	0.064728	0.064199	0.382344	0.383636	13.62	0.000704
36	0.064146	0.063857	0.387784	0.387806	13.15	0.000664
37	0.063587	0.063143	0.391845	0.395568	13.58	0.000593
38	0.063275	0.063019	0.395422	0.397678	13.65	0.000445
39	0.062838	0.062424	0.399417	0.397411	13.66	0.000752
40	0.062583	0.062345	0.400556	0.406681	13.62	0.000746
41	0.062220	0.062071	0.404444	0.401529	13.83	0.000681
42	0.062079	0.061927	0.405381	0.407154	13.66	0.000670
43	0.061715	0.061750	0.407562	0.407213	14.18	0.000457
44	0.061703	0.061665	0.408634	0.405589	13.48	0.000639
45	0.061451	0.061104	0.409768	0.413109	13.16	0.000506
46	0.061441	0.061261	0.410915	0.410857	13.62	0.000551
47	0.061243	0.061177	0.411978	0.409416	13.18	0.000662
48	0.061166	0.060804	0.413130	0.413571	13.44	0.000595
49	0.060980	0.060751	0.413281	0.413746	13.37	0.000547
50	0.061088	0.060824	0.413424	0.414820	13.16	0.000606
51	0.060790	0.060611	0.414896	0.415381	13.49	0.000599
52	0.060841	0.060640	0.415371	0.415536	13.31	0.000558
53	0.060854	0.060530	0.415329	0.415043	13.38	0.000523
54	0.060738	0.060475	0.415356	0.413817	13.24	0.000602
55	0.060759	0.060347	0.415090	0.416401	12.88	0.000606
56	0.060758	0.060309	0.415567	0.415245	13.19	0.000539
57	0.060636	0.060431	0.416041	0.416463	13.29	0.000437
58	0.060763	0.060447	0.416402	0.416096	13.68	0.000599
59	0.060803	0.060516	0.416102	0.415779	13.71	0.000582
60	0.060564	0.060568	0.416739	0.415151	13.91	0.000621
