Epoch	Train Loss	Test Loss	Train Acc	Test Acc	Time	Stability
1	0.202153	0.132063	0.149142	0.093936	13.70	0.090036
2	0.126416	0.123186	0.072521	0.070895	13.53	0.002077
3	0.122249	0.119823	0.070697	0.074577	14.45	0.001491
4	0.116356	0.109551	0.087992	0.124883	13.55	0.002801
5	0.101334	0.093083	0.172160	0.211898	13.42	0.004863
6	0.087407	0.081712	0.242776	0.278160	13.19	0.003371
7	0.078614	0.075085	0.299814	0.328517	13.07	0.002160
8	0.073517	0.071896	0.335179	0.336284	13.41	0.001230
9	0.070294	0.068264	0.352707	0.360626	13.48	0.001112
10	0.066358	0.063563	0.368925	0.388607	12.82	0.001370
11	0.061943	0.059895	0.401739	0.426578	14.03	0.001263
12	0.058848	0.057178	0.432860	0.443274	13.30	0.000831
13	0.056885	0.056327	0.450754	0.467284	13.39	0.000772
14	0.055456	0.054836	0.463131	0.472055	13.62	0.000681
15	0.054507	0.053676	0.470507	0.473314	13.67	0.000836
16	0.053550	0.052763	0.476907	0.476799	13.70	0.000650
17	0.052684	0.052660	0.482858	0.478897	13.53	0.000595
18	0.052117	0.051358	0.486826	0.491026	13.85	0.000689
19	0.051355	0.050947	0.491534	0.488100	13.55	0.000806
20	0.050823	0.050486	0.495266	0.493190	12.92	0.000662
21	0.050279	0.049814	0.498448	0.508255	14.11	0.000657
22	0.049782	0.049122	0.502873	0.504175	13.29	0.000759
23	0.049286	0.048967	0.505725	0.504075	13.46	0.000797
24	0.048851	0.048685	0.509179	0.508024	13.69	0.000549
25	0.048527	0.047934	0.511168	0.514080	13.47	0.000573
26	0.048053	0.048018	0.513937	0.511231	13.28	0.000508
27	0.047619	0.047063	0.517077	0.519852	12.78	0.000668
28	0.047236	0.046962	0.520077	0.520276	13.10	0.000643
29	0.046908	0.046594	0.522526	0.525642	13.33	0.000439
30	0.046611	0.046298	0.524979	0.524557	13.59	0.000660
31	0.046374	0.046295	0.526332	0.531628	13.50	0.000631
32	0.046133	0.045878	0.528732	0.531565	13.42	0.000606
33	0.045943	0.045710	0.530457	0.533325	12.86	0.000615
34	0.045603	0.045390	0.532628	0.534898	13.28	0.000668
35	0.045427	0.045179	0.534124	0.532529	13.24	0.000474
36	0.045267	0.044744	0.535236	0.535898	13.36	0.000611
37	0.045027	0.044771	0.536881	0.537627	13.77	0.000572
38	0.044908	0.044475	0.538451	0.538188	13.88	0.000457
39	0.044636	0.044433	0.539306	0.541111	12.81	0.000511
40	0.044598	0.044482	0.540909	0.534910	12.89	0.000528
41	0.044446	0.044149	0.541658	0.543317	13.52	0.000563
42	0.044300	0.043989	0.542535	0.543246	13.97	0.000599
43	0.044136	0.043898	0.543766	0.541761	13.87	0.000569
44	0.044116	0.043971	0.544280	0.541479	13.56	0.000480
45	0.044034	0.043791	0.544572	0.543865	13.53	0.000583
46	0.044020	0.043689	0.545104	0.546579	13.23	0.000448
47	0.043827	0.043652	0.546671	0.544169	13.05	0.000541
48	0.043775	0.043654	0.546403	0.545802	13.69	0.000511
49	0.043733	0.043626	0.547022	0.545963	12.63	0.000575
50	0.043733	0.043607	0.547361	0.547484	13.11	0.000512
51	0.043717	0.043474	0.547305	0.546318	13.20	0.000623
52	0.043700	0.043556	0.547139	0.547929	13.65	0.000718
53	0.043662	0.043558	0.548099	0.547828	13.76	0.000484
54	0.043542	0.043333	0.548668	0.546814	13.96	0.000637
55	0.043548	0.043484	0.548706	0.547357	13.79	0.000591
56	0.043576	0.043514	0.548509	0.546666	13.53	0.000493
57	0.043521	0.043478	0.548757	0.548097	13.29	0.000548
58	0.043522	0.043335	0.549060	0.547546	13.66	0.000409
59	0.043504	0.043377	0.548788	0.547452	13.30	0.000524
60	0.043549	0.043527	0.548750	0.547978	13.41	0.000553
